condition,unit_a,unit_b,dissimilarity
traditional,npv_001,pbp_001,0.02403135206960405
traditional,npv_001,pbp_002,0.027347915037725823
traditional,npv_001,pel_001,0.022016144309138008
traditional,npv_001,pel_002,0.024997292810479466
traditional,npv_001,spo_001,0.030194916636937297
traditional,npv_001,spo_002,0.07366366308925176
traditional,npv_001,roi_001,0.009757050392958488
traditional,npv_001,roi_002,0.011060967702720803
traditional,npv_001,tp_001,0.02243846526885107
traditional,npv_001,tp_002,0.02527417257493525
traditional,npv_001,wac_001,0.01030930626802562
traditional,npv_001,wac_002,0.01895729262332435
traditional,npv_002,dol_001,0.018569314050864816
traditional,npv_002,dol_002,0.010171174891705048
traditional,npv_002,pbp_001,0.008046841697925244
traditional,npv_002,pbp_002,0.009176427946469223
traditional,npv_002,pel_001,0.018342216280247126
traditional,npv_002,pel_002,0.015794148323370116
traditional,npv_002,spo_001,0.01609067148395127
traditional,npv_002,spo_002,0.047860145194251524
traditional,npv_002,roi_001,0.005097391550915487
traditional,npv_002,roi_002,0.007321564884092191
traditional,npv_002,tp_001,0.013361193677751904
traditional,npv_002,tp_002,0.01045113166001177
traditional,npv_002,wac_001,0.013346802826234905
traditional,npv_002,wac_002,0.01111620660537016
traditional,dol_001,dol_002,0.02540050612724465
traditional,dol_001,pbp_001,0.0345898217527123
traditional,dol_001,pbp_002,0.024778557582212368
traditional,dol_001,pel_001,0.006450291351050019
traditional,dol_001,pel_002,0.015312727673985282
traditional,dol_001,spo_001,0.04156071314113119
traditional,dol_001,spo_002,0.09933946502013713
traditional,dol_001,roi_001,0.019405395849745988
traditional,dol_001,roi_002,0.012582752022565868
traditional,dol_001,tp_001,0.024689323572334
traditional,dol_001,tp_002,0.018813825174894272
traditional,dol_001,wac_001,0.03492645221012192
traditional,dol_001,wac_002,0.039392538702513136
traditional,dol_002,pbp_001,0.02381182361178269
traditional,dol_002,pbp_002,0.022491732453874258
traditional,dol_002,pel_001,0.017434451323266154
traditional,dol_002,pel_002,0.015038420325288016
traditional,dol_002,spo_001,0.01823189763308175
traditional,dol_002,spo_002,0.04279484087016716
traditional,dol_002,roi_001,0.017485496456275285
traditional,dol_002,roi_002,0.02337264157654051
traditional,dol_002,tp_001,0.023303045846940318
traditional,dol_002,tp_002,0.014283306401107199
traditional,dol_002,wac_001,0.011424504939089863
traditional,dol_002,wac_002,0.006892319962933602
traditional,pbp_001,pbp_002,0.003824831930805961
traditional,pbp_001,pel_001,0.038211395314950436
traditional,pbp_001,pel_002,0.03500963663798684
traditional,pbp_001,spo_001,0.01739674623484866
traditional,pbp_001,spo_002,0.044961145130628766
traditional,pbp_001,roi_001,0.011172440021879448
traditional,pbp_001,roi_002,0.015089145610536647
traditional,pbp_001,tp_001,0.01676194311790946
traditional,pbp_001,tp_002,0.015422702585010661
traditional,pbp_001,wac_001,0.03021582251279864
traditional,pbp_001,wac_002,0.02490043983105117
traditional,pbp_002,pel_001,0.027499448276299687
traditional,pbp_002,pel_002,0.026054206395938806
traditional,pbp_002,spo_001,0.013162789487045745
traditional,pbp_002,spo_002,0.044800068478036414
traditional,pbp_002,roi_001,0.011986932859242128
traditional,pbp_002,roi_002,0.011465310227127046
traditional,pbp_002,tp_001,0.0104393033467306
traditional,pbp_002,tp_002,0.009109174110932927
traditional,pbp_002,wac_001,0.0331771012607438
traditional,pbp_002,wac_002,0.027124890545921154
traditional,pel_001,pel_002,0.006508958243233276
traditional,pel_001,spo_001,0.02960056420816537
