level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0
network,SomMot,time_to_peak,S-T,-3.6986416001203635,18.258157173478697,-35.682705451343814,36.94342854309188,30,0.8394674284349605,0.9698810371092031,False
network,SomMot,time_to_peak,U-T,63.79783486922887,12.725056315085284,40.91608803664547,91.15064332054595,30,5.343206191559256e-07,3.740244334091479e-06,True
network,SomMot,time_to_peak,S-U,-67.49647646934923,13.436524759615672,-91.63161572917514,-39.64844380743332,30,5.077572406583994e-07,3.5543006846087956e-06,True
network,Vis,auc,S-T,-1.3214339603654757,0.46499122000884974,-2.2857711245874603,-0.4315627843595598,30,0.004485299407335382,0.006279419170269534,True
network,Vis,auc,U-T,0.8672823640161251,0.35324424569970947,0.1431656308630215,1.5057901000381964,30,0.0140809450074649,0.0985666150522543,True
network,Vis,auc,S-U,-2.188716324381601,0.3023913041375792,-2.778152812634195,-1.594222471048797,30,4.5525992901788e-13,6.373639006250319e-13,True
network,Vis,mean,S-T,-0.007729866034939749,0.0026999442152747435,-0.013392582496323625,-0.002564626920540181,30,0.00419686989442189,0.005875617852190646,True
network,Vis,mean,U-T,0.0057520226187526835,0.002114504155301561,0.0014579810038195722,0.009638356159093813,30,0.0065228594317839755,0.04566001602248783,True
network,Vis,mean,S-U,-0.013481888653692433,0.001800282919815899,-0.017061389332480054,-0.009924019571038337,30,6.952677407356452e-14,1.6222913950498386e-13,True
network,Vis,peak,S-T,0.004615035126069334,0.011840003287357678,-0.01888329137342655,0.025752839303555788,30,0.6966968203645258,0.8268505021046421,False
network,Vis,peak,U-T,0.019443603347675587,0.009126504628894215,-0.0003973156444824535,0.03572335432644966,30,0.03313410398790775,0.038656454652559034,False
network,Vis,peak,S-U,-0.014828568221606253,0.008070619539325082,-0.030745262585924527,0.0009031568548926542,30,0.06615796131762279,0.06615796131762279,False
network,Vis,sustained,S-T,0.008078939298728133,0.011732355506343889,-0.015231322550627199,0.02978802957787386,30,0.49107291269085385,0.5729183981393294,False
network,Vis,sustained,U-T,0.018639951476749565,0.009903759706325293,-0.001556411660808571,0.03707590240931907,30,0.05982126972861165,0.13958296270009385,False
network,Vis,sustained,S-U,-0.010561012178021432,0.006642602367804605,-0.024357233173205366,0.001731985296596848,30,0.11185942905838564,0.13050266723478324,False
network,Vis,time_to_peak,S-T,-2.120596222776684,16.6590579046431,-38.23563678750657,28.372122757642874,30,0.8987077989710522,0.9698810371092031,False
network,Vis,time_to_peak,U-T,17.494608800133328,11.780145437126395,-5.540262753607004,39.97187108679783,30,0.13751925145703153,0.24065869004980517,False
network,Vis,time_to_peak,S-U,-19.61520502291001,12.746063589100991,-46.00904281589932,3.3810140273157,30,0.12382319873903672,0.1733524782346514,False
stimulus,all,dispersion,S-T,6.863921169170056e-05,0.00019701405510928088,-0.00029990412627870774,0.0004765698958622935,30,0.7275416514691648,0.7275416514691648,False
stimulus,all,dispersion,U-T,-0.0006000946723692839,0.00016802799428979778,-0.0009431360649048056,-0.0002796767915917717,30,0.00035508220760267713,0.00035508220760267713,True
stimulus,all,dispersion,S-U,0.0006687338840609844,0.00014408336678959396,0.0004069837663186461,0.000974379183904704,30,3.4622689372187612e-06,3.4622689372187612e-06,True
stimulus,all,entropy,S-T,-0.01304682147987185,0.0024335152533865416,-0.017971777214268417,-0.008433728351664178,30,8.262213087329434e-08,8.262213087329434e-08,True
stimulus,all,entropy,U-T,0.0026726635487110896,0.0014789515058968453,-0.0004554308090238681,0.005435824011218112,30,0.07074138873123126,0.07074138873123126,False
stimulus,all,entropy,S-U,-0.01571948502858294,0.0017778776058024863,-0.019367744952467927,-0.012321846331198653,30,9.426139200947963e-19,9.426139200947963e-19,True
stimulus,all,integration,S-T,-0.05903449288118401,0.012798246919648133,-0.08454620684081295,-0.03470191156239364,30,3.974688964333143e-06,3.974688964333143e-06,True
stimulus,all,integration,U-T,0.039628201291275006,0.009782406895613483,0.01923613381621155,0.05890513705414654,30,5.100654013588602e-05,5.100654013588602e-05,True
stimulus,all,integration,S-U,-0.09866269417245901,0.010909991923588387,-0.12098186398154878,-0.07728533346355136,30,1.519655402487287e-19,1.519655402487287e-19,True
