scenario,network,year,mechanism,d_mean,d_median,d_n,d_lo90,d_hi90,d_lo95,d_hi95,prsup
scaffolding_rapid,Cont,5,D,-10.813988086539437,-9.516305579300582,500,-22.780793891975897,-4.315717704697164,-27.530325546414947,-3.7973182709614908,0.000389
scaffolding_rapid,Cont,10,D,-6.53184778275242,-5.261263591375835,500,-15.786963207879735,-2.001740059638759,-19.21166058808809,-1.5449029871058384,0.011129
scaffolding_rapid,Default,1,D,11.766398106500313,11.054258178763806,500,5.8746623394767585,19.948113953004423,5.262031674920768,22.201853820015586,0.999987
scaffolding_rapid,Default,5,D,8.988831364878266,7.991000022093619,500,3.947888185823557,17.92849519476909,3.44374413217685,20.737497575414505,0.9994750000000001
scaffolding_rapid,Default,10,D,5.589486384388347,4.670679430542799,500,1.8453216949715703,12.579443532803959,1.472922470189251,14.524034189398677,0.9880509999999999
scaffolding_rapid,DorsAttn,1,D,-15.273007384197776,-13.80910821279335,500,-28.035680110703964,-6.953199138520561,-32.72104534772603,-6.299098701778005,6e-06
scaffolding_rapid,DorsAttn,5,D,-11.060695276909923,-9.629141153205266,500,-23.310485587664914,-4.3590656304821325,-28.580578899946094,-3.842246480204795,0.00035099999999999997
scaffolding_rapid,DorsAttn,10,D,-6.60183493584051,-5.284826240891499,500,-15.931234734272893,-1.9965859229424843,-19.774960705793777,-1.5434085597210478,0.011006
scaffolding_rapid,Limbic,1,D,0.7529609835278704,0.7696798527601074,500,0.32405616649437796,1.1428780988467018,0.26273687327142925,1.1911827710855356,0.8050080000000001
scaffolding_rapid,Limbic,5,D,0.8451566832650161,0.8149348528260318,500,0.245864666556852,1.587352572071029,0.196651504374697,1.6904810355104936,0.837339
scaffolding_rapid,Limbic,10,D,0.5279477891485518,0.46581589150130376,500,0.020800139007115383,1.32284200178294,-0.027587358593038035,1.430098098241768,0.756596
scaffolding_rapid,SalVentAttn,1,D,-15.074544208226989,-13.700118971903798,500,-27.646145021682273,-6.948451538244893,-31.736868595481138,-6.278649263531712,6e-06
scaffolding_rapid,SalVentAttn,5,D,-11.018288998781934,-9.63596962524096,500,-23.008269412540983,-4.356461226156793,-28.242833458283506,-3.8504000266938627,0.000341
scaffolding_rapid,SalVentAttn,10,D,-6.607177904160037,-5.3118510485114125,500,-15.87223864895815,-2.0115226136696807,-19.67279232339527,-1.552859854956158,0.010841
scaffolding_rapid,SomMot,1,D,-15.176698847128758,-13.922944915018359,500,-27.381100850158717,-7.128891645829503,-30.643195304714453,-6.44606008346064,1e-05
scaffolding_rapid,SomMot,5,D,-11.831186065154368,-10.343661007097506,500,-25.26184814286985,-4.587488104251869,-30.51243487335231,-4.056667646917171,0.000321
scaffolding_rapid,SomMot,10,D,-7.051570792553234,-5.609401635258171,500,-17.525139505589006,-2.095920937740132,-20.88417045716591,-1.6195627271206856,0.009753
scaffolding_rapid,Vis,1,D,-14.838906929709307,-14.201460629646892,500,-24.109272612207793,-7.208564397747499,-24.817072865623285,-6.640978634057843,2e-05
scaffolding_rapid,Vis,5,D,-12.85617219491213,-11.390923220289096,500,-26.751767015043175,-4.941048255138615,-29.89038886597363,-4.296870669275075,0.00037
scaffolding_rapid,Vis,10,D,-7.5914706288308755,-6.023999042832909,500,-19.49902053967149,-2.167628567609527,-22.032885008397457,-1.6768000952859583,0.009559000000000002
substitution,Cont,1,D,0.566487643574838,0.5496156743897491,500,0.1409396449621911,1.0908035295326954,0.08135123594738819,1.1902911984510236,0.725277
substitution,Cont,5,D,0.3527248985429297,0.3298526322887571,500,-0.195260475714699,1.0428173557447529,-0.27273267801757173,1.2365870933743761,0.670881
substitution,Cont,10,D,-0.0980093045307998,-0.1328617029258013,500,-0.7222240574969037,0.6528748307945996,-0.8920848045223687,0.7770337870632428,0.507981
substitution,Default,1,D,5.790356707212501,5.58648009155355,500,3.425632404203863,8.82342725427034,3.2119030381766915,9.301787443822617,0.999426
substitution,Default,5,D,4.7709352552509685,4.380625982834463,500,2.302638414743025,8.379570097397057,2.0277511535767423,9.715393090046318,0.994677
substitution,Default,10,D,3.058580149683104,2.7282008052160354,500,1.067062332026116,6.39598226641017,0.8206578923290468,7.137608898242142,0.95868
substitution,DorsAttn,1,D,-0.3400592811036156,-0.33788358935728013,500,-0.6731354142360386,0.012746989698721956,-0.7269161678601807,0.10033917122242536,0.40345899999999996
substitution,DorsAttn,5,D,-0.4729136350176669,-0.47610452398083153,500,-0.8820891855140237,-0.03667620509218098,-0.9573240001520023,0.045248911428801705,0.418859
substitution,DorsAttn,10,D,-0.808048010980523,-0.8191182189506382,500,-1.3890526070533833,-0.2465820713927339,-1.4797697184893703,-0.1745860879249253,0.301962
substitution,Limbic,1,D,3.475480453940283,3.3532993550304564,500,2.063085053566311,5.355236679310939,1.905517225693982,5.584212227198577,0.993092
substitution,Limbic,5,D,3.0025565732791564,2.7906824375531474,500,1.4562705494814956,5.106903930451927,1.329761309707171,5.863967893393892,0.977953
substitution,Limbic,10,D,2.0258172470004987,1.896543752241556,500,0.6128634738560652,3.990359073020328,0.42624211640659326,4.5483000186410445,0.9142729999999999
substitution,SalVentAttn,1,D,0.7660772495820053,0.7133248853332528,500,0.1020322699607764,1.6297761851394272,0.02350001309444901,1.761551788529494,0.767576
substitution,SalVentAttn,5,D,0.39827606395430665,0.34927901598337574,500,-0.2548054716448046,1.2281848034805587,-0.37429758073058284,1.4438172493413488,0.673131
substitution,SalVentAttn,10,D,-0.10113577567014952,-0.15028906069757098,500,-0.8495505756840883,0.77899546135079,-1.0237189466072316,0.9275915278897063,0.506713
substitution,SomMot,1,D,2.6763818437308635,2.5598476552435434,500,1.3183138549593523,4.497729216162157,1.1999979466940673,4.8029440188591,0.9651320000000001
substitution,SomMot,5,D,1.7816275322493398,1.6358103414162395,500,0.6337611428601958,3.4492330734073113,0.530780537243004,3.8394762844445305,0.8807170000000001
substitution,SomMot,10,D,0.9975127939394295,0.8948412295741921,500,-0.05706329458743331,2.469621898671906,-0.25875795703658583,2.818875662952483,0.720645
substitution,Vis,1,D,3.4628492850315182,3.298709133839173,500,1.7762585171525633,5.767887388355269,1.665853683900298,6.091215289633748,0.9857539999999999
substitution,Vis,5,D,2.4057863957659373,2.203471006830931,500,0.9980577398780333,4.474833596446934,0.8796409441704595,5.063562961641358,0.937663
substitution,Vis,10,D,1.4574909045963407,1.3244434476832576,500,0.2205364007678276,3.267449363880652,0.02674656640479222,3.7764546807045782,0.8135609999999999
