scenario,a,e,o,f,median_G,mean,n,lo90,hi90,lo95,hi95,share_beneficial_eps0.01,class_eps0.01,share_beneficial_eps0.02,class_eps0.02,share_beneficial_eps0.05,class_eps0.05
grid_o0.00_a0.85_e0.83,0.85,0.833,0.0,0.0,0.016193648281344522,0.01761999235342669,100,0.006183014639260908,0.03298609634540485,0.005310979758585609,0.03488886561075668,0.82,beneficial,0.38,neutral,0.0,neutral
grid_o0.00_a0.85_e1.00,0.85,1.0,0.0,0.0,0.01666148138192449,0.01828398216854699,100,0.0062431717871099185,0.03401298931817893,0.005393612729253669,0.036475464034053266,0.83,beneficial,0.39,neutral,0.01,neutral
grid_o0.00_a1.00_e0.00,1.0,0.0,0.0,0.0,0.017100692685101414,0.018159355205261872,100,0.007333117833800019,0.031030241399536224,0.006088743166530884,0.03459231373687461,0.85,beneficial,0.41,neutral,0.0,neutral
grid_o0.00_a1.00_e0.17,1.0,0.167,0.0,0.0,0.017518735628924437,0.01856434151236395,100,0.007354216259729188,0.03212369990525907,0.006137031313058315,0.0356287296605102,0.85,beneficial,0.44,neutral,0.0,neutral
grid_o0.00_a1.00_e0.33,1.0,0.333,0.0,0.0,0.01797826568934978,0.01904225697259353,100,0.007410530872994333,0.033271391810653694,0.006194554980138543,0.036703625976088866,0.86,beneficial,0.46,neutral,0.0,neutral
grid_o0.00_a1.00_e0.50,1.0,0.5,0.0,0.0,0.018398953545417054,0.019597809016952527,100,0.007458885344898584,0.03461962763986434,0.006257393952874195,0.03808987157646346,0.86,beneficial,0.47,neutral,0.0,neutral
grid_o0.00_a1.00_e0.67,1.0,0.667,0.0,0.0,0.018786357732418928,0.020215271416757597,100,0.007525934618745921,0.03613023979627739,0.006331027793375385,0.03951862029626492,0.87,beneficial,0.48,neutral,0.0,neutral
grid_o0.00_a1.00_e0.83,1.0,0.833,0.0,0.0,0.01917642399148963,0.020854457046457407,100,0.007570284626650398,0.038226337486393376,0.006419526619099562,0.04104541606069492,0.87,beneficial,0.49,neutral,0.02,neutral
grid_o0.00_a1.00_e1.00,1.0,1.0,0.0,0.0,0.019627376690132266,0.021494890330647907,100,0.007633943415335274,0.04026896951377668,0.006496407871212018,0.04257127041779825,0.87,beneficial,0.5,neutral,0.02,neutral
grid_o0.50_a0.10_e0.00,0.1,0.0,0.5,0.0,-0.09445924367816155,-0.0906126318508484,100,-0.11670777898274998,-0.05738533359496244,-0.11888694080732544,-0.054424185850627825,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e0.17,0.1,0.167,0.5,0.0,-0.09021873821020138,-0.08673154133925244,100,-0.1111443131272653,-0.05533804701976943,-0.1132193318314132,-0.05244639610972714,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e0.33,0.1,0.333,0.5,0.0,-0.08479584968481019,-0.08198576762051657,100,-0.1046341337241506,-0.05235815923507272,-0.10610565229944897,-0.05022394156647208,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e0.50,0.1,0.5,0.5,0.0,-0.07894795236225736,-0.07635946447562858,100,-0.09556314816628227,-0.049011781816821025,-0.09798135676772593,-0.04762608207426784,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e0.67,0.1,0.667,0.5,0.0,-0.07227418565217722,-0.06999588591377155,100,-0.08658499740481221,-0.04561137334391754,-0.08833844996457163,-0.0446171701885612,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e0.83,0.1,0.833,0.5,0.0,-0.06497470789068457,-0.06318668422900371,100,-0.07752138235955276,-0.042247265792955804,-0.07847954256108049,-0.041226091236936525,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.10_e1.00,0.1,1.0,0.5,0.0,-0.05813895630673292,-0.05621952713910911,100,-0.06817436049862823,-0.03892516119807824,-0.0696092945240996,-0.03696560992943817,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.00,0.25,0.0,0.5,0.0,-0.08855118016911191,-0.08531078009056048,100,-0.10924518501738595,-0.05463110993892904,-0.11095899028284967,-0.052080469395031595,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.17,0.25,0.167,0.5,0.0,-0.08429890196089593,-0.0813119203556642,100,-0.10357652898766564,-0.052161143154503035,-0.10477230932425471,-0.050093925002084864,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.33,0.25,0.333,0.5,0.0,-0.0792612104445375,-0.07647125425289868,100,-0.096359265732212,-0.04952368712873754,-0.09744758190126221,-0.047815709928536496,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.50,0.25,0.5,0.5,0.0,-0.07323811904485936,-0.07078392824274182,100,-0.08760681833246557,-0.046228759642661856,-0.08930623529131204,-0.04527579322136884,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.67,0.25,0.667,0.5,0.0,-0.06624581413925384,-0.06435982182813889,100,-0.07788839570847048,-0.04288792824581592,-0.07953308902058909,-0.042165115079572164,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e0.83,0.25,0.833,0.5,0.0,-0.05934224914911014,-0.057533492551808105,100,-0.06859874903489356,-0.040258344980403045,-0.07045964333702992,-0.03861939733584252,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.25_e1.00,0.25,1.0,0.5,0.0,-0.05160757194129624,-0.0504713034325143,100,-0.06110647702921223,-0.03631802985441072,-0.06145294419068466,-0.03226935738329641,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.00,0.4,0.0,0.5,0.0,-0.08364392270706503,-0.08029636861858774,100,-0.1001077593591042,-0.052110411560671935,-0.10374209708358147,-0.04996623687233027,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.17,0.4,0.167,0.5,0.0,-0.07896319363528989,-0.07625102200700634,100,-0.09370484548620302,-0.049659836810194806,-0.0975921802681485,-0.0478825249189216,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.33,0.4,0.333,0.5,0.0,-0.07384495442452259,-0.07136938081560733,100,-0.08646508234781702,-0.04694767303717764,-0.09024206000873597,-0.04562432676218792,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.50,0.4,0.5,0.5,0.0,-0.06758262951579125,-0.06562640004057221,100,-0.0804331453796821,-0.0436933524533813,-0.08135142481176871,-0.043165088418952995,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.67,0.4,0.667,0.5,0.0,-0.06072155615532193,-0.059185135058069174,100,-0.07025860213695746,-0.04084943508515109,-0.07273477847610563,-0.039775705787379295,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e0.83,0.4,0.833,0.5,0.0,-0.05436353139253479,-0.05229157428892075,100,-0.062288254049613204,-0.03718523150953735,-0.06306194604635638,-0.03468682277154317,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.40_e1.00,0.4,1.0,0.5,0.0,-0.04544451216106954,-0.04522226747118457,100,-0.054842765619666486,-0.03390144786770175,-0.05544181287962928,-0.030286109876593557,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.55_e0.00,0.55,0.0,0.5,0.0,-0.07868130596824005,-0.07570112129110067,100,-0.0925087632879479,-0.049818759945289594,-0.09724810559172568,-0.04790509280154447,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.55_e0.17,0.55,0.167,0.5,0.0,-0.07386114820090726,-0.07160206220398886,100,-0.08677291906640029,-0.047429903122923535,-0.09072219174395132,-0.045953384052154406,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.55_e0.33,0.55,0.333,0.5,0.0,-0.06879755782112632,-0.06670707843595874,100,-0.08161224759028485,-0.044618387907073766,-0.08332820490540473,-0.043773876317902236,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.55_e0.50,0.55,0.5,0.5,0.0,-0.06254680046110982,-0.06094482699751755,100,-0.07301028424341292,-0.04169324820044221,-0.07523822271012734,-0.04097397593479943,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.55_e0.67,0.55,0.667,0.5,0.0,-0.05610098722469606,-0.05445399779713187,100,-0.06470429324045807,-0.039284985312912246,-0.0660428628543353,-0.03754879840026751,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.55_e0.83,0.55,0.833,0.5,0.0,-0.04827168957755565,-0.047540158372899155,100,-0.056830949300452606,-0.03510867584418124,-0.05708426432294965,-0.03215426488673349,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.55_e1.00,0.55,1.0,0.5,0.0,-0.04028060516261872,-0.04046111227447389,100,-0.05008677566728942,-0.03171084530639344,-0.05079450105810313,-0.0285997522612746,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.70_e0.00,0.7,0.0,0.5,0.0,-0.07384261085609796,-0.07149103748147988,100,-0.08658666592609972,-0.04778017910031212,-0.09042650506884514,-0.046200460724422555,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.70_e0.17,0.7,0.167,0.5,0.0,-0.06949577052957483,-0.06742027742351263,100,-0.0823457595978886,-0.04539750680471457,-0.08429866284232292,-0.04427520825464294,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.70_e0.33,0.7,0.333,0.5,0.0,-0.06430144358863116,-0.062477766503995724,100,-0.07503174226329007,-0.04261729798991957,-0.07742863496652427,-0.0419606340078772,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.70_e0.50,0.7,0.5,0.5,0.0,-0.058475821799309796,-0.056682436043396824,100,-0.06790124319808286,-0.04011976779274646,-0.06885631190579479,-0.03895507654289203,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.70_e0.67,0.7,0.667,0.5,0.0,-0.05139680077090823,-0.05019852985067756,100,-0.059929490535153215,-0.03638037115375673,-0.06011250681053524,-0.03421352823927655,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.70_e0.83,0.7,0.833,0.5,0.0,-0.043847949853254346,-0.04327736787326739,100,-0.052723035834493476,-0.03303565839505944,-0.053189716132670734,-0.030464991787397092,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.70_e1.00,0.7,1.0,0.5,0.0,-0.03617532588138942,-0.03623569511593739,100,-0.046362944034870734,-0.02723440903473868,-0.047094807800607874,-0.02644076059719837,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.85_e0.00,0.85,0.0,0.5,0.0,-0.06993754176664563,-0.06775633752719998,100,-0.08271156942818979,-0.0460022525466085,-0.08460043781804362,-0.04462900734158019,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.85_e0.17,0.85,0.167,0.5,0.0,-0.06521308773995826,-0.06365593306798309,100,-0.07656160503219647,-0.043597812071232644,-0.07889886763170795,-0.042699434022127114,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.85_e0.33,0.85,0.333,0.5,0.0,-0.06021822694967678,-0.05870205873172825,100,-0.07040665344039682,-0.04095741250965976,-0.07192009226688992,-0.040194649571185986,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.85_e0.50,0.85,0.5,0.5,0.0,-0.053603152795035136,-0.0529062720526277,100,-0.06307570575079643,-0.03890852596773484,-0.06344473990554833,-0.03717033223899581,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a0.85_e0.67,0.85,0.667,0.5,0.0,-0.047171640755156494,-0.04639175295059987,100,-0.05574896191688461,-0.03457838713966782,-0.056625200267052485,-0.032461615739553765,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.85_e0.83,0.85,0.833,0.5,0.0,-0.03975340936214225,-0.03950519794715088,100,-0.049375165146620846,-0.0297409853596621,-0.05016159039452518,-0.028386699343932183,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a0.85_e1.00,0.85,1.0,0.5,0.0,-0.03244967237491453,-0.032493851402332116,100,-0.04327154494987059,-0.02234093554703244,-0.04378143835951982,-0.02135191282023224,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a1.00_e0.00,1.0,0.0,0.5,0.0,-0.06582952180515894,-0.06441983961479093,100,-0.07755067741013881,-0.04440015526239658,-0.07958971042807433,-0.04328369940173874,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a1.00_e0.17,1.0,0.167,0.5,0.0,-0.06155413383385347,-0.06028390979558976,100,-0.07240039271132466,-0.04180951756846469,-0.07440950935415647,-0.041133300993485056,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a1.00_e0.33,1.0,0.333,0.5,0.0,-0.05619289543167367,-0.05535613563716473,100,-0.06618292377737985,-0.039843499651778004,-0.06709274640174938,-0.038633705304913,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a1.00_e0.50,1.0,0.5,0.5,0.0,-0.05020147837730042,-0.04955364329937231,100,-0.05934847626770019,-0.03609290992250634,-0.05991787116867854,-0.03517846746656623,0.0,harmful,0.0,harmful,0.0,harmful
grid_o0.50_a1.00_e0.67,1.0,0.667,0.5,0.0,-0.04342444969967279,-0.0430632102569888,100,-0.05249852534639742,-0.03229579016588427,-0.05358250867953155,-0.030991937491405802,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a1.00_e0.83,1.0,0.833,0.5,0.0,-0.03624627886014822,-0.036196339656990664,100,-0.04633899109746518,-0.026971076858953155,-0.047444303730622514,-0.024961568375452173,0.0,harmful,0.0,harmful,0.0,neutral
grid_o0.50_a1.00_e1.00,1.0,1.0,0.5,0.0,-0.02895761408584995,-0.029215365886200943,100,-0.04017803467533036,-0.01745514848174842,-0.04112803951096198,-0.015565591712096889,0.0,harmful,0.0,harmful,0.0,neutral
grid_o1.00_a0.10_e0.00,0.1,0.0,1.0,0.0,-0.1946680358268103,-0.1885877171570057,100,-0.22983793580120102,-0.12867441974634622,-0.23913078879638064,-0.11936430419645905,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e0.17,0.1,0.167,1.0,0.0,-0.18457738975678517,-0.17854351062454682,100,-0.21720860544487552,-0.12250502252534208,-0.22540525295090943,-0.11228806488106191,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e0.33,0.1,0.333,1.0,0.0,-0.17181424880859164,-0.1666410291849449,100,-0.20186566219367105,-0.11503549967329149,-0.20839975492265664,-0.10542360393213093,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e0.50,0.1,0.5,1.0,0.0,-0.1586274949235756,-0.15293921381033093,100,-0.18403444341535385,-0.10582935096218357,-0.18947834054749743,-0.09843596156902304,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e0.67,0.1,0.667,1.0,0.0,-0.14233407259120182,-0.1378962945639138,100,-0.16560486652599052,-0.09577039262196028,-0.16996336170899687,-0.09070974298117902,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e0.83,0.1,0.833,1.0,0.0,-0.12644680801719466,-0.12251788654239709,100,-0.14531088758898736,-0.08493435675438601,-0.15140415347677344,-0.08231459695824123,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.10_e1.00,0.1,1.0,1.0,0.0,-0.1101130285941862,-0.10727597297908945,100,-0.12832760419137257,-0.0769719170706689,-0.13114378130521917,-0.07342427032193377,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e0.00,0.25,0.0,1.0,0.0,-0.19196387833817713,-0.1859770575161573,100,-0.2271463304851682,-0.12733734022181947,-0.23583096028194872,-0.11776406066992233,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e0.17,0.25,0.167,1.0,0.0,-0.1806975895222936,-0.17526643579052972,100,-0.21329112612340517,-0.12068465396670394,-0.22095344616822699,-0.11075978030950381,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e0.33,0.25,0.333,1.0,0.0,-0.16818634957611328,-0.16274573216446572,100,-0.19727272738601992,-0.11280857244124003,-0.20276010222819457,-0.10349910690652088,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e0.50,0.25,0.5,1.0,0.0,-0.153021733952819,-0.14841172478757061,100,-0.1784604598746166,-0.10333743677098627,-0.1834738560522212,-0.09609664774420938,0.0,harmful,0.0,harmful,0.0,harmful
