scenario,half_life_weeks,lambda_O,network,median_d,prsup,n_draws
substitution,104.0,0.1667,Vis,2.2939634505021855,1.0,100
substitution,104.0,0.3333,Cont,-0.05223324842206951,0.5556,100
substitution,104.0,0.3333,Default,3.1111357579717973,0.9971333333333334,100
substitution,104.0,0.3333,DorsAttn,-0.7776392090402205,0.35153333333333336,100
substitution,104.0,0.3333,Limbic,2.141480813163387,0.977,100
substitution,104.0,0.3333,SalVentAttn,-0.034863506764693936,0.5467666666666667,100
substitution,104.0,0.3333,SomMot,0.9977787425298759,0.7342666666666666,100
substitution,104.0,0.3333,Vis,1.4655664488839624,0.8593000000000001,100
substitution,104.0,0.5,Cont,-0.24557563875341015,0.5181333333333333,100
substitution,104.0,0.5,Default,2.3051755117173602,0.9504333333333334,100
substitution,104.0,0.5,DorsAttn,-0.8635266435770468,0.30760000000000004,100
substitution,104.0,0.5,Limbic,1.4808483139404407,0.8692666666666666,100
substitution,104.0,0.5,SalVentAttn,-0.2721968976530756,0.5024000000000001,100
substitution,104.0,0.5,SomMot,0.5792766487249741,0.6578333333333333,100
substitution,104.0,0.5,Vis,0.9458163202190097,0.7398333333333333,100
substitution,104.0,0.6667,Cont,-0.3841065586700986,0.4858,100
substitution,104.0,0.6667,Default,1.743330517575431,0.8945666666666666,100
substitution,104.0,0.6667,DorsAttn,-0.9327289727536014,0.27283333333333337,100
substitution,104.0,0.6667,Limbic,1.0373964665576327,0.7755333333333333,100
substitution,104.0,0.6667,SalVentAttn,-0.4476768942390686,0.4635333333333333,100
substitution,104.0,0.6667,SomMot,0.2746283899294363,0.6118666666666667,100
substitution,104.0,0.6667,Vis,0.6014411838182814,0.6760666666666667,100
substitution,104.0,0.8333,Cont,-0.4917918265340777,0.4578666666666667,100
substitution,104.0,0.8333,Default,1.3551884701990946,0.8460333333333334,100
substitution,104.0,0.8333,DorsAttn,-0.9839666371347917,0.2441,100
substitution,104.0,0.8333,Limbic,0.7161578818013237,0.7095,100
substitution,104.0,0.8333,SalVentAttn,-0.5717326591403156,0.42700000000000005,100
substitution,104.0,0.8333,SomMot,0.0488964627125307,0.5767,100
substitution,104.0,0.8333,Vis,0.3399351410157603,0.6321666666666667,100
substitution,104.0,1.0,Cont,-0.57402404566481,0.4328333333333333,100
substitution,104.0,1.0,Default,1.0672157236855249,0.8047666666666667,100
substitution,104.0,1.0,DorsAttn,-1.0243086324916757,0.21916666666666668,100
substitution,104.0,1.0,Limbic,0.47912057022702514,0.6617666666666666,100
substitution,104.0,1.0,SalVentAttn,-0.671568697294923,0.3950333333333333,100
substitution,104.0,1.0,SomMot,-0.11628398770894913,0.5471,100
substitution,104.0,1.0,Vis,0.1387888303919057,0.601,100
