scenario,year,network,mechanism,main_contrast,permuted_units_median_ratio,permuted_units_share_as_large,permuted_conditions_median_ratio,permuted_conditions_share_as_large,reading speed 180 wpm change ratio,reading speed 260 wpm change ratio,unwinsorised Z change ratio
scaffolding_rapid,10,Vis,D,-14.277439456078438,0.9678343532968965,0.035,0.2927789019961713,0.01,0.7502765664656398,0.497747014730469,0.0004408388869906789
scaffolding_rapid,10,SomMot,D,-21.843017656978347,1.0041919745564762,0.605,0.2354992991986086,0.0,0.8463863387631757,0.30376823197730174,0.009529561843987556
scaffolding_rapid,10,DorsAttn,D,-41.89838732026507,0.9964564856583182,0.275,0.20451027634051117,0.0,0.2584997185248274,0.0731683704223759,0.013542073055781567
scaffolding_rapid,10,SalVentAttn,D,-36.26333748188619,0.9991987565522413,0.45,0.20660981126886577,0.0,0.2992603561562864,0.20594417278363372,0.021497326235943266
scaffolding_rapid,10,Limbic,D,0.24256445302604998,1.091145577304803,0.6,9.3765988838463,0.98,17.327305064121884,24.579152176183623,3.1890631082532797
scaffolding_rapid,10,Cont,D,-23.905564519658927,1.001111246888212,0.57,0.2090221625210244,0.0,0.2952627264186655,0.14955244817948868,0.007067050967894489
scaffolding_rapid,10,Default,D,11.925403202930148,1.0042972490899635,0.585,0.3043691611705029,0.005,0.5287185398698937,0.0014304951608676377,0.04610590361930948
substitution,1,Vis,D,9.996750619562459,0.8731177647711882,0.005,0.27571212767995407,0.005,0.19415094104711472,0.38466783455702946,0.04608814327541299
substitution,1,SomMot,D,6.533795083147391,0.8123721462791338,0.0,0.39740517955158017,0.09,0.4532357658787485,0.75641514439164,0.04525471393784181
substitution,1,DorsAttn,D,-0.8178667582564534,2.178544277369358,0.965,3.9609207898594505,0.875,6.95806426502058,0.550998464961754,0.0921447187856107
substitution,1,SalVentAttn,D,1.6664018957942934,0.5335124491893366,0.065,1.8811028307026665,0.685,1.97771131884103,0.5537223789683362,0.005649396648856
substitution,1,Limbic,D,5.004820490615087,0.8995803060671419,0.125,0.29131120422366985,0.0,1.011319226536478,0.00715703096080093,0.15062132221910834
substitution,1,Cont,D,0.9378877821917526,0.3735879867944264,0.065,2.483779101041152,0.82,5.380971937742719,2.0996049051316343,0.16629309954225716
substitution,1,Default,D,8.901000555207466,0.8730743524616305,0.0,0.1904228046306426,0.0,0.3237854041123587,0.10723548069778645,0.03772442548489837
substitution,5,Vis,D,13.97424083785068,0.8739966924268563,0.005,0.28796772220956435,0.015,0.21684867760541762,0.4115696957542085,0.04753191431253591
substitution,5,SomMot,D,8.797948189486378,0.805737615684083,0.0,0.42789979401173184,0.145,0.54220368275926,0.8425946341176406,0.050100000943046286
substitution,5,DorsAttn,D,-2.1450426568732057,1.6662720329543008,0.985,2.189370650924943,0.72,3.9077263744996484,0.23886852425214006,0.04897689917009244
substitution,5,SalVentAttn,D,1.5219103114854564,0.36212132799367164,0.06,3.0170178137948573,0.76,3.274747551220247,1.0397952660360008,0.009884952532416894
substitution,5,Limbic,D,7.193113441153472,0.8991265035513355,0.11,0.30034880546331133,0.0,1.0273722141839958,0.03727548018273116,0.1564498731689091
substitution,5,Cont,D,0.8423551340933113,0.8030888490422257,0.36,4.00666325174418,0.9,8.787205203503431,3.2394839940354636,0.24780815622367958
substitution,5,Default,D,13.062579757472376,0.8776315350182593,0.0,0.20050754474915242,0.0,0.3286296900444454,0.10236002575139468,0.03776887581847674
substitution,10,Vis,D,10.318838322880218,0.8759535407460848,0.02,0.3164835878414378,0.02,0.29650868707540656,0.5006895687425941,0.05310330597733401
substitution,10,SomMot,D,5.778459397028476,0.7548691997192476,0.005,0.5449628727526465,0.23,0.8599035057314008,1.1520144391811076,0.0682041947445326
substitution,10,DorsAttn,D,-4.1230294721451095,1.3079887197406928,0.995,0.9903250846768632,0.49,1.7592937387280265,0.028352270967398188,0.01898121758400519
