level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0,wpm
network,Limbic,sustained,S-U,0.08644465824925841,0.010165621526810659,0.06717648009782061,0.10683955436272868,30,1.8375659360731446e-17,4.287653850837338e-17,True,220
network,Limbic,time_to_peak,S-T,6.400000000000003,7.238782588868575,-7.667500000000001,20.967500000000005,30,0.37662789321522316,0.4393992087510937,False,220
network,Limbic,time_to_peak,U-T,5.133333333333333,7.928322220646374,-10.235833333333336,21.266666666666673,30,0.5173292289356091,0.5173292289356091,False,220
network,Limbic,time_to_peak,S-U,1.2666666666666702,5.949103975684173,-9.866666666666667,13.300833333333328,30,0.8313915324631806,0.8313915324631805,False,220
network,SalVentAttn,auc,S-T,-2.293448876949397,0.33853567298246307,-2.9644311728001216,-1.619879787762514,30,1.2473790790572541e-11,4.365826776700389e-11,True,220
network,SalVentAttn,auc,U-T,0.31894735314568057,0.2669402783017068,-0.1959958991433286,0.8493220002741579,30,0.2321547735493259,0.3250166829690563,False,220
network,SalVentAttn,auc,S-U,-2.6123962300950776,0.258340449722921,-3.12418902915634,-2.1261106905376628,30,4.876502672301769e-24,1.706775935305619e-23,True,220
network,SalVentAttn,mean,S-T,-0.013689091194816759,0.0020015032459503412,-0.017701097160258868,-0.00973382028118382,30,7.952280418644692e-12,2.7832981465256422e-11,True,220
network,SalVentAttn,mean,U-T,0.0012680249194100045,0.0015657176712939621,-0.0017664188851333085,0.00432789438489254,30,0.4180159422505326,0.5852223191507456,False,220
network,SalVentAttn,mean,S-U,-0.014957116114226763,0.001462951499958411,-0.01785813378737151,-0.01217554252242855,30,1.549268092707747e-24,5.4224383244771145e-24,True,220
network,SalVentAttn,peak,S-T,-0.01449099729341578,0.005909932438152664,-0.025609978690464847,-0.002489811692676247,30,0.01420751535141735,0.09945260745992146,True,220
network,SalVentAttn,peak,U-T,0.011939331871499526,0.005719017570724809,0.0007371321807112191,0.022739180587403342,30,0.03682902611172701,0.051560636556417815,True,220
network,SalVentAttn,peak,S-U,-0.026430329164915306,0.0063208826324308055,-0.03957976200102379,-0.014803276630709631,30,2.896812555457397e-05,5.069421972050445e-05,True,220
network,SalVentAttn,sustained,S-T,-0.05086806014518924,0.00705474066052986,-0.06466791707160927,-0.03688035541624328,30,5.575535114632816e-13,1.3009581934143237e-12,True,220
network,SalVentAttn,sustained,U-T,0.011644853838537073,0.006579355070986287,-0.0012189624423684764,0.02435946095439617,30,0.07674245111613377,0.1790657192709788,False,220
network,SalVentAttn,sustained,S-U,-0.06251291398372631,0.00686545339688825,-0.0762289036398558,-0.04949579318822324,30,8.592437927797033e-20,3.2106768863139747e-19,True,220
network,SalVentAttn,time_to_peak,S-T,-28.43333333333334,9.601676314328332,-48.00083333333335,-11.066666666666674,30,0.0030635485595671133,0.021444839916969792,True,220
network,SalVentAttn,time_to_peak,U-T,-10.700000000000003,8.395327181720363,-26.867500000000007,5.10083333333333,30,0.20247971235566742,0.34294948166809,False,220
network,SalVentAttn,time_to_peak,S-U,-17.733333333333338,8.918471257159634,-36.30166666666668,-0.6666666666666696,30,0.04676938838540505,0.08184642967445883,True,220
network,SomMot,auc,S-T,-0.9503415752147145,0.28439605295047515,-1.5185834518005552,-0.38887009082980245,30,0.000832930755423241,0.0011661030575925372,True,220
network,SomMot,auc,U-T,0.5461621839084475,0.2172776649562883,0.1243638419337599,0.9629961323103283,30,0.011948555124743696,0.02787996195773529,True,220
network,SomMot,auc,S-U,-1.496503759123162,0.1848621148399454,-1.8645682576319926,-1.152231101165346,30,5.715010490716329e-16,1.3335024478338103e-15,True,220
network,SomMot,mean,S-T,-0.00571788769701436,0.0016929764571553666,-0.009096236925021869,-0.0024498051980425544,30,0.0007316999549764285,0.0010243799369669998,True,220
network,SomMot,mean,U-T,0.0026260171643188663,0.001274122635618379,0.00010960693396266551,0.005022141937000463,30,0.03929926552021188,0.09169828621382771,True,220
network,SomMot,mean,S-U,-0.008343904861333226,0.0010856939928854839,-0.010490544745353084,-0.006271827510409043,30,1.526160259348688e-14,2.670780453860204e-14,True,220
network,SomMot,peak,S-T,0.002735463902018481,0.0036901876260987516,-0.004169024513835255,0.009853382115631767,30,0.4585234198076028,0.5010132806773454,False,220
network,SomMot,peak,U-T,0.029454886795732882,0.0047334234594044395,0.020178411536148577,0.03879647065857395,30,4.885312928035431e-10,3.4197190496248016e-09,True,220
network,SomMot,peak,S-U,-0.0267194228937144,0.003999216239045926,-0.03470888598707277,-0.01906851458193452,30,2.3705041226406844e-11,1.659352885848479e-10,True,220
network,SomMot,sustained,S-T,-0.009629491940159359,0.008286764530461461,-0.02567530471675457,0.006376547122610182,30,0.2452221541356625,0.2452221541356625,False,220
network,SomMot,sustained,U-T,0.0010334015243848949,0.008958802708904689,-0.016393707507264675,0.018832444166186502,30,0.9081673872300763,0.9081673872300763,False,220
network,SomMot,sustained,S-U,-0.010662893464544253,0.008128337569101524,-0.027340674124728234,0.005179161029707906,30,0.18958180205325914,0.22117876906213566,False,220
network,SomMot,time_to_peak,S-T,10.366666666666685,11.526450708764685,-11.934999999999995,32.136666666666684,30,0.3684499453058375,0.4393992087510937,False,220
network,SomMot,time_to_peak,U-T,70.50000000000003,11.221467380196078,49.83250000000001,92.80166666666668,30,3.32955235093514e-10,2.330686645654598e-09,True,220
network,SomMot,time_to_peak,S-U,-60.13333333333334,10.888757659241064,-82.0016666666667,-39.963333333333345,30,3.341802406062756e-08,2.339261684243929e-07,True,220
network,Vis,auc,S-T,-0.8971408870586072,0.3251467094167848,-1.5441944057884174,-0.2788610625736734,30,0.005794519547270584,0.006760272805149015,True,220
network,Vis,auc,U-T,1.0694987320324192,0.28942198456882184,0.5084457575276359,1.6102315111773975,30,0.00021963425938217846,0.0015374398156752492,True,220
network,Vis,auc,S-U,-1.9666396190910262,0.2517772008724482,-2.468195809269529,-1.4733971450461765,30,5.6721885129255836e-15,9.926329897619771e-15,True,220
network,Vis,mean,S-T,-0.0050836605047070455,0.001983176824206904,-0.009069068703320773,-0.0013968630281823767,30,0.010365480842357283,0.012093060982750163,True,220
network,Vis,mean,U-T,0.007010929070037924,0.0018108458002903173,0.003461281804877529,0.010419011898744378,30,0.00010810895749216596,0.0007567627024451617,True,220
network,Vis,mean,S-U,-0.01209458957474497,0.0015165486604951507,-0.015051379590558946,-0.00915924894480218,30,1.5228809841821564e-15,3.553388963091698e-15,True,220
network,Vis,peak,S-T,0.007841157448804115,0.008623127914194735,-0.009012654541170777,0.0242261467091358,30,0.36318278021650485,0.5010132806773454,False,220
network,Vis,peak,U-T,0.021142967296416636,0.008076856934685158,0.004252905399629125,0.03528000147697253,30,0.00885188492307555,0.015490798615382214,True,220
network,Vis,peak,S-U,-0.013301809847612521,0.006573808253786764,-0.02583508591788711,-0.00043083869025042166,30,0.04302618546675486,0.04302618546675486,True,220
network,Vis,sustained,S-T,0.020752629948258116,0.009216124481831059,0.0013889897145139254,0.03797144459213899,30,0.024336554380472997,0.028392646777218495,True,220
network,Vis,sustained,U-T,0.02515495072780759,0.009183760466480848,0.006548011364428467,0.0426845304886337,30,0.006161349947283414,0.02156472481549195,True,220
network,Vis,sustained,S-U,-0.004402320779549475,0.005906073158309446,-0.015722145981126995,0.007031297543113757,30,0.456036713106974,0.456036713106974,False,220
network,Vis,time_to_peak,S-T,17.700000000000014,10.027245512915695,-2.0333333333333203,37.101666666666674,30,0.07753172990471026,0.2119576871912868,False,220
network,Vis,time_to_peak,U-T,26.66666666666668,8.96634370803276,9.698333333333336,43.93583333333333,30,0.002938638369614476,0.006856822862433778,True,220
network,Vis,time_to_peak,S-U,-8.966666666666665,11.183595518122411,-31.466666666666665,12.1675,30,0.4226862590833509,0.5773447097015972,False,220
stimulus,all,dispersion,S-T,5.0112114440536987e-05,0.00015787270985084134,-0.0002578139044925041,0.0003533549290277433,30,0.7509241699489455,0.7509241699489455,False,220
