scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
free_choice_centaur,D,10,0.07489401584782418,0.07847349941620543,500,0.048713335964227715,0.09113318842596224,0.043178617699929235,0.0921340720642225,0.9999100000000001,1.0
free_choice_centaur,G,1,-0.023424510703453378,-0.02327236077677519,500,-0.028774665366903488,-0.01859887347328396,-0.03019164136738884,-0.01777969970467231,0.0025220000000000004,0.0
free_choice_centaur,G,5,-0.043634809950441895,-0.043687130042954506,500,-0.0548783474075622,-0.03199202306403728,-0.057348497121284946,-0.02950240043047393,6e-06,0.0
free_choice_centaur,G,10,-0.056689992775568694,-0.05868480133869981,500,-0.06915776428050233,-0.03836319509928169,-0.07058373737203262,-0.03509930499780159,6.1000000000000005e-05,0.0
free_choice_centaur,K,1,-0.017619227735495954,-0.017295275288664487,500,-0.023022483550911417,-0.012922883993893821,-0.024257004738435544,-0.012417322044716265,0.095096,0.0
free_choice_centaur,K,5,-0.020976669713562282,-0.02057825258997648,500,-0.029308993764799302,-0.013845214525508203,-0.031189597923710646,-0.012703346493165716,0.094221,0.0
free_choice_centaur,K,10,-0.02914663066771764,-0.029024168932057167,500,-0.042325401444550485,-0.016565904222168342,-0.04411867190352378,-0.014899707620266755,0.066004,0.0
free_choice_centaur,M,1,-0.019114121732453606,-0.018765293606895373,500,-0.026285658036046104,-0.012938559675782956,-0.027231008062820642,-0.011962916505966592,0.001185,0.0
free_choice_centaur,M,5,-0.019385085931958215,-0.01914356868270438,500,-0.02721926842508694,-0.012210329574607852,-0.029324041530471946,-0.0113312985066839,0.005602,0.0
free_choice_centaur,M,10,-0.02546712908773972,-0.02499997055859679,500,-0.03822397185131227,-0.013902780826893913,-0.041918149711378444,-0.013477822712832719,0.00408,0.0
free_choice_centaur,R,1,-0.02481125536988395,-0.02471642191789591,500,-0.030601097762633353,-0.01952933996165291,-0.031865456216332085,-0.018741569775441187,0.0005940000000000001,0.0
free_choice_centaur,R,5,-0.073421826653445,-0.07354132257422924,500,-0.0910318627444459,-0.05559742788414748,-0.09428759676398527,-0.05336121455231198,0.0,0.0
free_choice_centaur,R,10,-0.09725219549899325,-0.10006792853325958,500,-0.1136539503109929,-0.0713735608285371,-0.11551737400496657,-0.06739900375269843,0.0,0.0
free_choice_centaur,far,1,-0.022922533375439744,-0.022808449838368716,500,-0.028448683536659945,-0.017860709930724895,-0.029407877748330414,-0.01740166809925224,0.019321,0.0
