level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,393,auc,S-U,-0.4114024130625742,0.26325847054297463,-0.9165592978133397,0.09492788366171365,30,0.11811566502047788,0.16070158506187465
parcel,394,auc,S-T,-0.31305108657088293,0.40380409913929494,-1.1227452151342108,0.47636680908756274,30,0.43818908251187894,0.5145077289767659
parcel,394,auc,U-T,2.474283632152901,0.34789617995923994,1.7872559519834017,3.1352630852886345,30,1.1426370971400588e-12,5.022580646769489e-12
parcel,394,auc,S-U,-2.787334718723784,0.3902126322370927,-3.536649502553805,-2.022192335727631,30,9.123750680322516e-13,4.055000302365562e-12
parcel,395,auc,S-T,5.717407103416811,0.45494421783747113,4.8474372292896275,6.6192947044669275,30,3.195668343836299e-36,5.4782885894336554e-34
parcel,395,auc,U-T,3.3744947116092225,0.45229768777212065,2.508050674502425,4.239907645166822,30,8.601007629898737e-14,4.300503814949369e-13
parcel,395,auc,S-U,2.3429123918075883,0.4251674905332932,1.5270282663156391,3.181808800808456,30,3.576870402379954e-08,1.0443417233226144e-07
parcel,396,auc,S-T,4.897881049591484,0.47856928314235625,3.9868655521471803,5.866681944836097,30,1.390196785990854e-24,2.5619398245614593e-23
parcel,396,auc,U-T,3.533232422461424,0.44801816255015287,2.678115164037444,4.4049853593609525,30,3.111287574535251e-15,1.8391847731242864e-14
parcel,396,auc,S-U,1.3646486271300597,0.46725365777092387,0.4544362046070072,2.306868880913122,30,0.003493878279835324,0.006067516549641662
parcel,397,auc,S-T,-0.30451652361674253,0.4257028733606157,-1.066672187510276,0.6081342202730375,30,0.47440735060029304,0.5484478041621884
parcel,397,auc,U-T,1.7133300841804502,0.3495074242438674,1.072739633012709,2.426881383657262,30,9.480409157562445e-07,2.478538341846391e-06
parcel,397,auc,S-U,-2.0178466077971926,0.32694007521807383,-2.6312791708009162,-1.3602403083265955,30,6.746744047864447e-10,2.2678131253325874e-09
parcel,398,auc,S-T,-0.19054841348628482,0.39400030793310353,-0.9303178598605236,0.5874269254412455,30,0.6286520028250688,0.6908263767308448
parcel,398,auc,U-T,1.0845258938327724,0.331276225070683,0.45879722063022177,1.7400242708953406,30,0.0010611872737387184,0.0019758497634880107
parcel,398,auc,S-U,-1.2750743073190574,0.30360340763751026,-1.864992850858072,-0.6685955050041951,30,2.671480694606055e-05,5.992106230892085e-05
parcel,399,auc,S-T,4.826389508145348,0.5045454957873944,3.828357699214613,5.759913166430813,30,1.113195300505088e-21,1.2602210949114204e-20
parcel,399,auc,U-T,2.684232135031713,0.5212957378811099,1.6726915288805198,3.7066904239024954,30,2.616637106452533e-07,7.120100969938864e-07
parcel,399,auc,S-U,2.1421573731136347,0.4593064210825439,1.2574910166659377,3.0328477805282685,30,3.102782571446146e-06,7.645460134980237e-06
parcel,4,auc,S-T,-0.642512825186684,0.37214180470561126,-1.3663807014745615,0.06166385743259975,30,0.0842526696097894,0.11797339968698632
parcel,4,auc,U-T,1.4550296831526361,0.343455399563354,0.7905431668897265,2.0955579453939666,30,2.2708718071990134e-05,5.151316008769029e-05
parcel,4,auc,S-U,-2.09754250833932,0.334221816414029,-2.7462402019592287,-1.4383186672981045,30,3.476188258002226e-10,1.1884404300862312e-09
parcel,40,auc,S-T,-0.6283973235675401,0.2086536993914901,-1.041284566880816,-0.2210449238609161,30,0.0025980980417205455,0.004612008358083808
