tag,form,forgetting,epw,effort,outcome_weights,scenario,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,equal,scaffolding_nofade,2,0.02214677163193013,0.021499301470220722,50,0.016236950068765518,0.02883650759768064,0.015852633874255753,0.02942041396997748
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,equal,scaffolding_rapid,2,0.03656430118434917,0.03644022811191297,50,0.03066238574438585,0.0440034595971997,0.02923628284610297,0.044283154219149495
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,equal,substitution,2,-0.15304528662841624,-0.1545575520086621,50,-0.17954191602583472,-0.1234195251058345,-0.1825973119033498,-0.11509564105565158
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,learning_first,free_choice,2,-0.03965598051125937,-0.039758607341917634,50,-0.04942307621744677,-0.02838884096896414,-0.05314534255521123,-0.027452780902069457
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,learning_first,scaffolding_nofade,2,0.023888630919666632,0.023425693356251272,50,0.017161119725737837,0.03216538942763738,0.016994610079702092,0.03335813992949333
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,learning_first,scaffolding_rapid,2,0.03341133190279423,0.03369083400896475,50,0.02632986746046252,0.04156321693052687,0.025555328012562935,0.042396241690572864
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,learning_first,substitution,2,-0.15148508857632184,-0.15327889565773323,50,-0.1793918952917242,-0.12296953671714296,-0.184180293117439,-0.11484877346110409
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,autonomy_first,free_choice,2,-0.044189376774828315,-0.044951210979643,50,-0.05610873691884526,-0.03334048098549009,-0.058887736390600826,-0.03309787038403269
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,autonomy_first,scaffolding_nofade,2,0.026015660511013058,0.025110381105491977,50,0.019969402052532666,0.03271939908513221,0.01907001998989353,0.033123762690130766
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,autonomy_first,scaffolding_rapid,2,0.05084396896612903,0.050773645849677786,50,0.04256007828467405,0.05877950685899259,0.040577253040011876,0.060123508109705404
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,autonomy_first,substitution,2,-0.16841692550641438,-0.17011526395017035,50,-0.196594389896825,-0.1340660359273798,-0.20123180011978792,-0.12340914530611048
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,equal,free_choice,2,-0.0359090741644817,-0.03640207366010641,50,-0.04557015196550478,-0.028713531841078395,-0.04604962669595504,-0.028171204401673762
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,equal,scaffolding_nofade,2,0.02223709600313977,0.022039582464508305,50,0.015740973156303666,0.028519204972625247,0.014902764579001825,0.028917552012770208
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,equal,scaffolding_rapid,2,0.03510142575281987,0.03506699863798365,50,0.02824153205826151,0.041429957927438435,0.027521727378929953,0.04194392170273941
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,equal,substitution,2,-0.13515995337777217,-0.1367183393793315,50,-0.15809821089266313,-0.1077151759132522,-0.15952236178071746,-0.10186981218183011
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,learning_first,free_choice,2,-0.03392091019197456,-0.034612859102868015,50,-0.04389768655448642,-0.026204848649660935,-0.04498095899601451,-0.025150939135434595
