tag,form,forgetting,epw,effort,wpm,metric,winsorize,network_weights,mechanism,scenario,network,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,peak,False,equal,D,substitution,Cont,3,2.723085128715655,2.658908257791163,20,1.3554471380089903,4.242229200701265,1.331531213203897,5.048290781587823
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,auc,True,area,D,substitution,Cont,3,-0.15435566722789024,-0.1607769836056983,20,-0.5336073675478156,0.1530886002245402,-0.5630463122806689,0.28333371388513473
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,auc,True,equal,D,substitution,Cont,3,-0.27796001707053664,-0.2716695575330407,20,-0.6373401974287141,0.028282170430376806,-0.6692477447422548,0.1410437685500685
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,auc,False,area,D,substitution,Cont,3,-0.15980145516602515,-0.16669338322505106,20,-0.5413219898351609,0.1569420491447937,-0.5666570049072485,0.2849715120245615
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,auc,False,equal,D,substitution,Cont,3,-0.3045472428597954,-0.29936151772079933,20,-0.6618674329421484,0.012203124252408735,-0.6883512755107247,0.11859218103863821
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,mean,True,area,D,substitution,Cont,3,-2.221723147712473,-2.066975444532821,20,-3.3870969051020925,-1.6322705011722078,-3.545318048156601,-1.6002911192546718
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,mean,True,equal,D,substitution,Cont,3,-2.2564999038564206,-2.1139536479960213,20,-3.433006991673413,-1.6703433992853685,-3.584255734900639,-1.6306581251485495
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,mean,False,area,D,substitution,Cont,3,-2.184575827432261,-2.041456594986801,20,-3.333918436508821,-1.6005697717092648,-3.4875706490894687,-1.5728388720633313
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,mean,False,equal,D,substitution,Cont,3,-2.235144789373545,-2.098339355779033,20,-3.4053843989237143,-1.6584102889327101,-3.554780511770504,-1.6175802658263132
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,peak,True,area,D,substitution,Cont,3,3.118105475036303,2.9674201541635803,20,1.741918410340587,4.61842637505067,1.5794606908081144,4.901753917652043
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,peak,True,equal,D,substitution,Cont,3,3.26812030021458,3.1206431747307883,20,1.8208358221809098,4.899088781072336,1.6550290337352374,5.165285818058989
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,peak,False,area,D,substitution,Cont,3,2.99667273875067,2.852701799164599,20,1.6799356504328944,4.4265665986649925,1.5195454486971207,4.693987283818798
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,260,peak,False,equal,D,substitution,Cont,3,3.139865900404737,2.9979148036015744,20,1.760823883637026,4.700516911398747,1.5959635549055167,4.941305005208085
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,auc,True,area,A,substitution,Cont,3,1.4380415818836503,1.3736686447878013,20,0.5870559279923462,2.408111633319475,0.4595155578398995,2.7316538356916467
