scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive,episodes_per_week,run
substitution,p_request,1,0.07288229546340813,0.07227677257717414,200,0.057069784487882136,0.0897006894851466,0.05540228411805029,0.0959633674601209,0.999685,1.0,1,v_epw1
substitution,p_request,5,0.13318375235248445,0.13276986295774165,200,0.1144040798181279,0.15375718318039158,0.10953735892761045,0.15798007959404298,1.0,1.0,1,v_epw1
substitution,p_request,10,0.13119697889370374,0.13216262501513298,200,0.08390599272051608,0.16779173586791415,0.08124897262420121,0.17228636745498638,1.0,1.0,1,v_epw1
substitution,retention,1,-0.08260488415184165,-0.08255900690516622,200,-0.1019556782747371,-0.0647253877107574,-0.10415683232189,-0.060968256144889516,0.0,0.0,1,v_epw1
substitution,retention,5,-0.12062795576788363,-0.12144376000361126,200,-0.13941424258839125,-0.1000045454486438,-0.14609524650760247,-0.09337568558363699,0.0,0.0,1,v_epw1
substitution,retention,10,-0.1233358076356195,-0.12516348496839153,200,-0.15227795939513014,-0.0823931719762207,-0.15681699406230093,-0.0811098772553052,0.0,0.0,1,v_epw1
substitution,unaided,1,-0.10242293528358692,-0.10152710087588368,200,-0.127765026815648,-0.07956293225913717,-0.13406287587121923,-0.0770553691469596,0.0,0.0,1,v_epw1
substitution,unaided,5,-0.14619181076278537,-0.14713027047453198,200,-0.17187530550219043,-0.12177894053335242,-0.1749136010531976,-0.11363236256879523,0.0,0.0,1,v_epw1
substitution,unaided,10,-0.14768406867837022,-0.15031256520640926,200,-0.18294140152292293,-0.09924659682572562,-0.18710844051342831,-0.0943431074064522,0.0,0.0,1,v_epw1
free_choice,D,1,0.017323287694652266,0.017252522014806607,500,0.011113533243410481,0.02437819076521695,0.01060632914644489,0.025724768053554392,0.9555820000000002,1.0,3,v_main
free_choice,D,5,0.028733401073454054,0.028249541917158713,500,0.013700088824610795,0.04532508524607221,0.012350072461403292,0.05128781516668725,0.9962629999999999,1.0,3,v_main
free_choice,D,10,0.04118327480051521,0.04243642277970725,500,0.0184532531204895,0.06147771166835626,0.015075304640865827,0.06365090690133891,0.9984059999999999,1.0,3,v_main
free_choice,G,1,-0.012079446194095457,-0.011875289644762567,500,-0.01644336022508379,-0.008611722511945676,-0.017545393520823266,-0.008134771952797059,0.04139,0.0,3,v_main
